step,vehicle_count,total_waiting,avg_travel_time,strategy
0,4,0,1.0,baseline
1,4,0,2.0,baseline
2,4,0,3.0,baseline
3,4,0,4.0,baseline
4,4,0,5.0,baseline
5,4,0,6.0,baseline
6,4,0,7.0,baseline
7,4,0,8.0,baseline
8,6,0,6.333333333333333,baseline
9,6,0,7.333333333333333,baseline
10,6,0,8.333333333333334,baseline
11,6,0,9.333333333333334,baseline
12,6,0,10.333333333333334,baseline
13,6,0,11.333333333333334,baseline
14,6,0,12.333333333333334,baseline
15,6,0,13.333333333333334,baseline
16,8,0,11.0,baseline
17,8,0,12.0,baseline
18,8,0,13.0,baseline
19,8,0,14.0,baseline
20,8,0,15.0,baseline
21,8,0,16.0,baseline
22,8,0,17.0,baseline
23,8,0,18.0,baseline
24,10,0,15.4,baseline
25,10,0,16.4,baseline
26,10,0,17.4,baseline
27,10,0,18.4,baseline
28,10,0,19.4,baseline
29,10,2,20.4,baseline
30,12,2,18.0,baseline
31,12,2,19.0,baseline
32,14,2,17.285714285714285,baseline
33,14,2,18.285714285714285,baseline
34,14,0,19.285714285714285,baseline
35,14,0,20.285714285714285,baseline
36,14,0,21.285714285714285,baseline
37,14,0,22.285714285714285,baseline
38,14,0,23.285714285714285,baseline
39,14,0,24.285714285714285,baseline
40,16,0,22.25,baseline
41,16,0,23.25,baseline
42,16,0,24.25,baseline
43,16,0,25.25,baseline
44,16,0,26.25,baseline
45,16,0,27.25,baseline
46,16,0,28.25,baseline
47,16,0,29.25,baseline
48,18,0,27.0,baseline
49,18,0,28.0,baseline
50,18,0,29.0,baseline
51,18,0,30.0,baseline
52,18,0,31.0,baseline
53,18,0,32.0,baseline
54,18,0,33.0,baseline
55,18,0,34.0,baseline
56,20,0,31.6,baseline
57,20,0,32.6,baseline
58,20,0,33.6,baseline
59,20,2,34.6,baseline
60,22,2,32.45454545454545,baseline
61,22,2,33.45454545454545,baseline
62,22,2,34.45454545454545,baseline
63,22,2,35.45454545454545,baseline
64,24,2,33.5,baseline
65,24,2,34.5,baseline
66,24,2,35.5,baseline
67,24,2,36.5,baseline
68,24,2,37.5,baseline
69,24,0,38.5,baseline
70,24,0,39.5,baseline
71,24,1,40.5,baseline
72,26,1,38.38461538461539,baseline
73,26,1,39.38461538461539,baseline
74,26,1,40.38461538461539,baseline
75,26,1,41.38461538461539,baseline
76,26,2,42.38461538461539,baseline
77,26,3,43.38461538461539,baseline
78,26,3,44.38461538461539,baseline
79,26,3,45.38461538461539,baseline
80,28,3,43.142857142857146,baseline
81,28,3,44.142857142857146,baseline
82,28,3,45.142857142857146,baseline
83,28,5,46.142857142857146,baseline
84,28,7,47.142857142857146,baseline
85,28,7,48.142857142857146,baseline
86,28,7,49.142857142857146,baseline
87,28,7,50.142857142857146,baseline
88,30,7,47.8,baseline
89,30,7,48.8,baseline
90,32,7,46.75,baseline
91,32,9,47.75,baseline
92,32,9,48.75,baseline
93,32,9,49.75,baseline
94,32,9,50.75,baseline
95,32,9,51.75,baseline
96,34,9,49.705882352941174,baseline
97,34,9,50.705882352941174,baseline
98,34,10,51.705882352941174,baseline
99,34,11,52.705882352941174,baseline
100,34,11,53.705882352941174,baseline
101,34,11,54.705882352941174,baseline
102,34,11,55.705882352941174,baseline
103,34,11,56.705882352941174,baseline
104,36,9,54.55555555555556,baseline
105,36,7,55.55555555555556,baseline
106,36,8,56.55555555555556,baseline
107,36,7,57.55555555555556,baseline
108,36,5,58.55555555555556,baseline
109,36,5,59.55555555555556,baseline
110,36,3,60.55555555555556,baseline
111,36,2,61.55555555555556,baseline
112,38,2,59.31578947368421,baseline
113,38,3,60.31578947368421,baseline
114,38,4,61.31578947368421,baseline
115,38,4,62.31578947368421,baseline
116,38,4,63.31578947368421,baseline
117,38,4,64.3157894736842,baseline
118,38,4,65.3157894736842,baseline
119,38,7,66.3157894736842,baseline
120,42,7,61.0,baseline
121,42,7,62.0,baseline
122,42,7,63.0,baseline
123,42,8,64.0,baseline
124,42,8,65.0,baseline
125,42,7,66.0,baseline
126,42,7,67.0,baseline
127,42,7,68.0,baseline
128,44,7,65.9090909090909,baseline
129,44,7,66.9090909090909,baseline
130,44,7,67.9090909090909,baseline
131,44,7,68.9090909090909,baseline
132,44,7,69.9090909090909,baseline
133,44,7,70.9090909090909,baseline
134,44,7,71.9090909090909,baseline
135,44,7,72.9090909090909,baseline
136,46,7,70.73913043478261,baseline
137,46,7,71.73913043478261,baseline
138,46,7,72.73913043478261,baseline
139,46,5,73.73913043478261,baseline
140,46,4,74.73913043478261,baseline
141,46,4,75.73913043478261,baseline
142,46,4,76.73913043478261,baseline
143,46,4,77.73913043478261,baseline
